sample_id	taxon_rank	taxon_name	taxid_if_available	mean_relative_abundance_classified_only	sd_relative_abundance_classified_only	replicates_detected	mean_direct_reads_if_available	mean_clade_reads	notes
S_22_02_24	phylum	Candidatus Lokiarchaeota	1655434	0.00018127588770569416	6.745780547614965e-06	3	0.0	27.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Balneolaeota	1936987	0.00018126798726715934	3.068921934384685e-05	3	0.0	27.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Candidatus Omnitrophica	67812	0.00015441949737267607	1.3684147416585572e-07	3	0.0	23.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Candidatus Bipolaricaulota	67810	0.00010966540963478269	1.034367180324782e-05	3	0.0	16.333333333333332	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Dictyoglomi	68297	9.17542730719267e-05	3.798715433723398e-06	3	0.0	13.666666666666666	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Candidatus Cloacimonetes	456828	7.608416567132557e-05	1.6855888812924777e-05	3	0.0	11.333333333333334	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Atribacterota	67818	7.385905238470936e-05	2.4224039142803077e-05	3	0.0	11.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Candidatus Saccharibacteria	95818	7.384608351228952e-05	1.1570616939340668e-05	3	2.3333333333333335	11.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Elusimicrobia	74152	7.160340320492931e-05	2.53641972197422e-05	3	0.0	10.666666666666666	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Fibrobacteres	65842	6.714987434148622e-05	3.080830272417967e-05	3	0.0	10.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Caldiserica	67814	4.700560905491013e-05	1.779339640716806e-05	3	0.0	7.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Peploviricota	2731361	4.475620916855957e-05	7.723377149756404e-06	3	0.0	6.666666666666667	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Coprothermobacterota	2138240	2.6852617757246568e-05	6.698521600514467e-06	3	0.0	4.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Candidatus Absconditabacteria	221235	2.4615361170763175e-05	3.856872313113558e-06	3	0.0	3.6666666666666665	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_22_02_24	phylum	Cossaviricota	2732415	1.790146998064682e-05	3.862690244889651e-06	3	0.0	2.6666666666666665	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
